# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
1.7067185366e-01 1.6583709678e-04 1.4051437378e-03 7.3831989920e+02 1.5466035184e-01 1.9543118262e+01 1.9659077581e+01 1.7182785706e-02 1.1110013330e-01 1.0183702242e+00 1.0000000000e+00 0.0000000000e+00 7.2789492627e+02
1.4765839844e-01 1.7269381697e-04 1.3160705566e-03 7.3832174499e+02 1.3374945382e-01 1.9559730294e+01 1.9663879497e+01 1.4858806109e-02 1.1109433111e-01 1.0188742368e+00 1.0000000000e+00 0.0000000000e+00 7.2571136697e+02
1.2384287096e-01 1.7973338304e-04 1.2165069580e-03 7.3831989920e+02 1.1210136714e-01 1.9557884513e+01 1.9669085177e+01 1.2461659640e-02 1.1116420752e-01 1.0194371384e+00 1.0000000000e+00 0.0000000000e+00 7.1956676093e+02
1.0312986334e-01 1.8695579497e-04 1.1205673218e-03 6.9785297499e+02 9.3287284731e-02 1.9550486967e+01 1.9660548438e+01 1.0361508459e-02 1.1107096202e-01 1.0200106052e+00 1.0000000000e+00 0.0000000000e+00 6.5383478192e+02
8.9875254560e-02 1.9436105278e-04 1.0593414307e-03 3.0017413210e+02 8.1236040628e-02 1.9554178530e+01 1.9666893312e+01 9.0272314947e-03 1.1112347949e-01 1.0207084221e+00 1.0000000000e+00 0.0000000000e+00 1.6684752836e+02
8.9403998816e-02 2.0194915645e-04 1.0723114014e-03 1.5554866450e+02 8.0812093377e-02 1.9557884513e+01 1.9671060740e+01 8.9742522190e-03 1.1105085692e-01 1.0214770266e+00 1.0000000000e+00 0.0000000000e+00 4.9710568259e+01
9.1397688883e-02 2.0972010600e-04 1.1028289795e-03 1.0066710380e+02 8.2623417393e-02 1.9537580918e+01 1.9663418052e+01 9.1766222341e-03 1.1106563398e-01 1.0223034057e+00 1.0000000000e+00 0.0000000000e+00 2.8485928788e+01
9.4315591974e-02 2.1767390143e-04 1.1402130127e-03 7.3618577223e+01 8.5275552900e-02 1.9544964044e+01 1.9670519984e+01 9.4733943621e-03 1.1109156188e-01 1.0231732486e+00 1.0000000000e+00 0.0000000000e+00 2.0696731591e+01
9.7571848063e-02 2.2581054272e-04 1.1804580688e-03 5.8659045910e+01 8.8244852369e-02 1.9536658028e+01 1.9662322119e+01 9.7968674138e-03 1.1101913767e-01 1.0240311000e+00 1.0000000000e+00 0.0000000000e+00 1.9315164269e+01
1.0154455024e-01 2.3413002988e-04 1.2290954590e-03 4.8145872030e+01 9.1849010040e-02 1.9543118262e+01 1.9669157278e+01 1.0212224781e-02 1.1118491943e-01 1.0249967801e+00 1.0000000000e+00 0.0000000000e+00 1.8982000739e+01
