# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
4.5890467102e-01 1.5916322246e-04 1.5790462494e-04 9.5705092026e+02 3.5357403496e-01 2.4454938486e+02 2.4512741633e+02 1.0608990511e+00 3.0005004502e+00 1.0240892226e-01 1.0000000000e-01 0.0000000000e+00 7.4778320564e+02
4.2754348476e-01 1.6583709678e-04 1.5094280243e-04 1.0395055627e+03 3.2938493948e-01 2.4458260892e+02 2.4516462757e+02 9.8802873538e-01 2.9996172167e+00 1.0244899499e-01 1.0000000000e-01 0.0000000000e+00 8.4646975003e+02
3.8772690801e-01 1.7269381697e-04 1.4226436615e-04 1.0850056082e+03 2.9864114789e-01 2.4459922095e+02 2.4518905534e+02 8.9592947472e-01 3.0000201950e+00 1.0248958474e-01 1.0000000000e-01 0.0000000000e+00 9.2866054671e+02
3.2748684455e-01 1.7973338304e-04 1.2894868851e-04 1.0257301867e+03 2.5216550003e-01 2.4465459439e+02 2.4522886942e+02 7.5639318399e-01 2.9995902846e+00 1.0253016148e-01 1.0000000000e-01 0.0000000000e+00 9.2109653484e+02
2.5493055939e-01 1.8695579497e-04 1.1194944382e-04 9.4367044046e+02 1.9619450264e-01 2.4469520158e+02 2.4526731358e+02 5.8846324290e-01 2.9993870112e+00 1.0256591174e-01 1.0000000000e-01 0.0000000000e+00 8.6109756704e+02
1.7390170965e-01 1.9436105278e-04 9.0658664703e-05 8.3080826664e+02 1.3368659436e-01 2.4476531243e+02 2.4532486446e+02 4.0114542523e-01 3.0006406188e+00 1.0260374989e-01 1.0000000000e-01 0.0000000000e+00 7.2986617747e+02
1.2224693356e-01 2.0194915645e-04 7.4851512909e-05 4.7886674582e+02 9.3868758703e-02 2.4481699431e+02 2.4536633686e+02 2.8152353709e-01 2.9991185670e+00 1.0265591571e-01 1.0000000000e-01 0.0000000000e+00 2.4534857933e+02
1.1397114137e-01 2.0972010600e-04 7.2121620178e-05 2.2128152314e+02 8.7482375978e-02 2.4487796277e+02 2.4541357012e+02 2.6242179565e-01 2.9997104298e+00 1.0274757523e-01 1.0000000000e-01 0.0000000000e+00 2.4468600151e+02
1.1547687853e-01 2.1767390143e-04 7.2753429413e-05 1.2490865122e+02 8.8641632802e-02 2.4492870734e+02 2.4546974388e+02 2.6593350886e-01 3.0000971378e+00 1.0285699846e-01 1.0000000000e-01 0.0000000000e+00 2.4473674608e+02
1.1882707164e-01 2.2581054272e-04 7.4040889740e-05 8.6024578222e+01 9.1221930895e-02 2.4496847095e+02 2.4552424490e+02 2.7374584579e-01 3.0008775642e+00 1.0296963673e-01 1.0000000000e-01 0.0000000000e+00 2.4479127594e+02
1.2335628108e-01 2.3413002988e-04 7.5733661652e-05 6.4207882761e+01 9.4723828515e-02 2.4503535889e+02 2.4558497543e+02 2.8419707463e-01 3.0002701441e+00 1.0309990592e-01 1.0000000000e-01 0.0000000000e+00 2.4485816388e+02
1.2822022286e-01 2.4263236292e-04 7.7521800995e-05 5.1933487412e+01 9.8490145666e-02 2.4510556347e+02 2.4565864085e+02 2.9539056055e-01 2.9991889905e+00 1.0323032979e-01 1.0000000000e-01 0.0000000000e+00 2.4492836846e+02
1.3364617181e-01 2.5131754183e-04 7.9524517059e-05 4.3684546464e+01 1.0267677176e-01 2.4517000720e+02 2.4572343787e+02 3.0804832676e-01 3.0001754193e+00 1.0336996605e-01 1.0000000000e-01 0.0000000000e+00 2.4499281219e+02
1.3966130141e-01 2.6018556661e-04 8.1694126129e-05 3.7732838997e+01 1.0732989194e-01 2.4525771065e+02 2.4581491220e+02 3.2200103650e-01 3.0001058482e+00 1.0352067169e-01 1.0000000000e-01 0.0000000000e+00 2.4508051564e+02
1.4576644103e-01 2.6923643726e-04 8.3899497986e-05 3.3568323720e+01 1.1204263049e-01 2.4533109488e+02 2.4588496537e+02 3.3629392210e-01 3.0014818524e+00 1.0367041169e-01 1.0000000000e-01 0.0000000000e+00 2.4513913362e+02
1.5276462722e-01 2.7847015378e-04 8.6379051208e-05 3.0129633109e+01 1.1746126758e-01 2.4542153816e+02 2.4597860272e+02 3.5256276203e-01 3.0015235600e+00 1.0383989695e-01 1.0000000000e-01 0.0000000000e+00 2.4522957690e+02
1.6004747961e-01 2.8788671618e-04 8.8906288147e-05 2.7489639477e+01 1.2311665074e-01 2.4552806714e+02 2.4608635741e+02 3.6938655655e-01 3.0002973141e+00 1.0401398300e-01 1.0000000000e-01 0.0000000000e+00 2.4533610589e+02
1.6735977065e-01 2.9748612445e-04 9.1433525085e-05 2.5477391747e+01 1.2879152470e-01 2.4562740767e+02 2.4617878347e+02 3.8636068262e-01 2.9998921399e+00 1.0418688765e-01 1.0000000000e-01 0.0000000000e+00 2.4543544641e+02
