# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
8.9295236119e-02 2.1767390143e-04 1.8203735352e-03 6.4889170743e+01 7.5668954022e-02 1.1685634367e+01 1.1766185192e+01 8.4088689164e-03 1.1112706691e-01 1.7036899964e+00 1.6714000000e+00 0.0000000000e+00 1.7843160871e+01
9.2396202756e-02 2.2581054272e-04 1.8804550171e-03 5.2723027585e+01 7.8315228197e-02 1.1683788585e+01 1.1770309360e+01 8.7022811594e-03 1.1111863375e-01 1.7047150680e+00 1.6714000000e+00 0.0000000000e+00 1.5080026226e+01
9.6074772795e-02 2.3413002988e-04 1.9508361816e-03 4.3935493413e+01 8.1454857482e-02 1.1665330772e+01 1.1766704318e+01 9.0514135111e-03 1.1112183841e-01 1.7058552053e+00 1.6714000000e+00 0.0000000000e+00 1.3215787086e+01
9.9846977933e-02 2.4263236292e-04 2.0196914673e-03 3.8084590121e+01 8.4677262162e-02 1.1681942804e+01 1.1771809057e+01 9.4090344080e-03 1.1111642214e-01 1.7069542987e+00 1.6714000000e+00 0.0000000000e+00 1.2065865320e+01
1.0388602132e-01 2.5131754183e-04 2.0958983265e-03 3.3685408263e+01 8.8129569055e-02 1.1676405460e+01 1.1766206822e+01 9.7925570744e-03 1.1111545398e-01 1.7080981182e+00 1.6714000000e+00 0.0000000000e+00 1.1661639209e+01
1.0828835265e-01 2.6018556661e-04 2.1781921387e-03 3.0230350763e+01 9.1890013281e-02 1.1676405460e+01 1.1766430335e+01 1.0213830493e-02 1.1115278069e-01 1.7092926639e+00 1.6714000000e+00 0.0000000000e+00 1.1513976703e+01
1.1266263407e-01 2.6923643726e-04 2.2590637207e-03 2.7657735359e+01 9.5650442161e-02 1.1670868116e+01 1.1770770805e+01 1.0620031493e-02 1.1102961213e-01 1.7104426591e+00 1.6714000000e+00 0.0000000000e+00 1.1375543104e+01
1.1763171345e-01 2.7847015378e-04 2.3525238037e-03 2.5411866510e+01 9.9890418769e-02 1.1654256084e+01 1.1767410906e+01 1.1102764708e-02 1.1114944601e-01 1.7117088423e+00 1.6714000000e+00 0.0000000000e+00 1.1255567318e+01
1.2273854474e-01 2.8788671618e-04 2.4467468262e-03 2.3617868002e+01 1.0428096667e-01 1.1650564521e+01 1.1765521864e+01 1.1581683885e-02 1.1106229885e-01 1.7129645413e+00 1.6714000000e+00 0.0000000000e+00 1.1148512001e+01
1.2782847922e-01 2.9748612445e-04 2.5400161743e-03 2.2199226431e+01 1.0863735249e-01 1.1663484991e+01 1.1768679881e+01 1.2073151294e-02 1.1113259867e-01 1.7141754149e+00 1.6714000000e+00 0.0000000000e+00 1.1072834966e+01
1.3383265882e-01 3.0726837858e-04 2.6512145996e-03 2.0853255290e+01 1.1378999161e-01 1.1649641631e+01 1.1769184587e+01 1.2648128676e-02 1.1115326135e-01 1.7155663806e+00 1.6714000000e+00 0.0000000000e+00 1.0985160353e+01
1.3976738473e-01 3.1723347859e-04 2.7610778809e-03 1.9777756003e+01 1.1890475659e-01 1.1641335615e+01 1.1765291142e+01 1.3207098826e-02 1.1107292261e-01 1.7168989214e+00 1.6714000000e+00 0.0000000000e+00 1.0903023084e+01
1.4578511055e-01 3.2738142448e-04 2.8739929199e-03 1.8876171136e+01 1.2406679887e-01 1.1628415145e+01 1.1765074839e+01 1.3791988838e-02 1.1116583134e-01 1.7182167878e+00 1.6714000000e+00 0.0000000000e+00 1.0816271362e+01
1.5286161725e-01 3.3771221623e-04 3.0036926270e-03 1.8007384938e+01 1.3017212689e-01 1.1623800692e+01 1.1769689292e+01 1.4463290653e-02 1.1110896778e-01 1.7197089264e+00 1.6714000000e+00 0.0000000000e+00 1.0730442530e+01
1.5986903520e-01 3.4822585386e-04 3.1328201294e-03 1.7296066960e+01 1.3619730306e-01 1.1619186239e+01 1.1767713730e+01 1.5145163031e-02 1.1120016836e-01 1.7211364171e+00 1.6714000000e+00 0.0000000000e+00 1.0666763074e+01
1.6694637976e-01 3.5892233735e-04 3.2630920410e-03 1.6692842550e+01 1.4232593063e-01 1.1610880223e+01 1.1766444755e+01 1.5813259379e-02 1.1110596158e-01 1.7225461515e+00 1.6714000000e+00 0.0000000000e+00 1.0584625805e+01
1.7537633300e-01 3.6980166672e-04 3.4183502197e-03 1.6091730695e+01 1.4960716366e-01 1.1598882644e+01 1.1767829091e+01 1.6626598243e-02 1.1113504083e-01 1.7241656980e+00 1.6714000000e+00 0.0000000000e+00 1.0513563224e+01
1.8369151552e-01 3.8086384196e-04 3.5713195801e-03 1.5596196089e+01 1.5680324486e-01 1.1583193503e+01 1.1767569528e+01 1.7427654093e-02 1.1114345311e-01 1.7257089338e+00 1.6714000000e+00 0.0000000000e+00 1.0438809081e+01
1.9187914090e-01 3.9210886308e-04 3.7216186523e-03 1.5178241980e+01 1.6389875008e-01 1.1583193503e+01 1.1767324385e+01 1.8217407010e-02 1.1115037181e-01 1.7271886785e+00 1.6714000000e+00 0.0000000000e+00 1.0357594702e+01
2.0201462846e-01 4.0353673006e-04 3.9077758789e-03 1.4747623360e+01 1.7268463818e-01 1.1571199529e+01 1.1768268906e+01 1.9203138392e-02 1.1120351291e-01 1.7289610958e+00 1.6714000000e+00 0.0000000000e+00 1.0279152601e+01
2.1201702864e-01 4.1514744292e-04 4.0878295898e-03 1.4386527968e+01 1.8142302848e-01 1.1547204372e+01 1.1769098066e+01 2.0145621117e-02 1.1104224908e-01 1.7306396157e+00 1.6714000000e+00 0.0000000000e+00 1.0196092441e+01
2.2181309400e-01 4.2694100165e-04 4.2678833008e-03 1.4081909158e+01 1.8992710673e-01 1.1541667028e+01 1.1770093057e+01 2.1111038036e-02 1.1115337036e-01 1.7322485977e+00 1.6714000000e+00 0.0000000000e+00 1.0116723844e+01
2.3341666188e-01 4.3891740625e-04 4.4784545898e-03 1.3778818886e+01 2.0006838683e-01 1.1504751402e+01 1.1765060419e+01 2.2226872484e-02 1.1109637477e-01 1.7340970037e+00 1.6714000000e+00 0.0000000000e+00 1.0028126341e+01
2.4550807444e-01 4.5107665672e-04 4.6951293945e-03 1.3513199417e+01 2.1065450377e-01 1.1501059839e+01 1.1767461377e+01 2.3392938817e-02 1.1104884253e-01 1.7359440529e+00 1.6714000000e+00 0.0000000000e+00 9.9542950876e+00
2.5732580899e-01 4.6341875306e-04 4.9087524414e-03 1.3292037322e+01 2.2100127450e-01 1.1486293588e+01 1.1769516250e+01 2.4547401309e-02 1.1107357351e-01 1.7377081144e+00 1.6714000000e+00 0.0000000000e+00 9.8804638345e+00
2.7008165290e-01 4.7594369528e-04 5.1376342773e-03 1.3086398536e+01 2.3221431721e-01 1.1454915306e+01 1.1771585544e+01 2.5783082892e-02 1.1103140927e-01 1.7395682688e+00 1.6714000000e+00 0.0000000000e+00 9.8084783628e+00
