# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
1.6702127194e-01 3.0726837858e-04 5.1812525080e-04 2.1868817154e+01 1.3434908199e-01 2.4379065337e+01 2.4481880674e+01 3.3541950143e-02 2.4966266718e-01 1.0413064912e+00 1.0000000000e+00 0.0000000000e+00 2.4024675322e+01
1.7530512174e-01 3.1723347859e-04 5.5069923401e-04 2.0770793567e+01 1.4104551129e-01 2.4388510546e+01 2.4482954977e+01 3.5274139074e-02 2.5009047613e-01 1.0430231054e+00 1.0000000000e+00 0.0000000000e+00 2.4019354281e+01
1.8371389902e-01 3.2738142448e-04 5.8498382568e-04 1.9829560452e+01 1.4789719179e-01 2.4392303050e+01 2.4481556221e+01 3.6988874121e-02 2.5009855612e-01 1.0447539717e+00 1.0000000000e+00 0.0000000000e+00 2.4008380534e+01
1.9365689922e-01 3.3771221623e-04 6.2732696533e-04 1.8915581452e+01 1.5602287822e-01 2.4393846008e+01 2.4482565632e+01 3.9005452189e-02 2.4999828637e-01 1.0467712898e+00 1.0000000000e+00 0.0000000000e+00 2.3980390991e+01
2.0360538440e-01 3.4822585386e-04 6.7234039307e-04 1.8151218890e+01 1.6413853378e-01 2.4367781557e+01 2.4485312674e+01 4.1050006881e-02 2.5009366135e-01 1.0487550389e+00 1.0000000000e+00 0.0000000000e+00 2.3954326540e+01
2.1376370543e-01 3.5892233735e-04 7.1973800659e-04 1.7507412527e+01 1.7245114209e-01 2.4373704640e+01 2.4487526170e+01 4.3126883846e-02 2.5008175256e-01 1.0507535926e+00 1.0000000000e+00 0.0000000000e+00 2.3945483372e+01
2.2592496420e-01 3.6980166672e-04 7.7915191650e-04 1.6854791836e+01 1.8243562610e-01 2.4385550807e+01 2.4490244371e+01 4.5599490850e-02 2.4994838906e-01 1.0531071529e+00 1.0000000000e+00 0.0000000000e+00 2.3927797038e+01
2.3804712785e-01 3.8086384196e-04 8.4247589111e-04 1.6318008344e+01 1.9238825853e-01 2.4365586086e+01 2.4492926522e+01 4.8082714708e-02 2.4992541164e-01 1.0554115624e+00 1.0000000000e+00 0.0000000000e+00 2.3893066067e+01
2.5007287149e-01 3.9210886308e-04 9.0808868408e-04 1.5871221112e+01 2.0227196375e-01 2.4376552623e+01 2.4497829379e+01 5.0555905843e-02 2.4994025324e-01 1.0576610049e+00 1.0000000000e+00 0.0000000000e+00 2.3859733852e+01
2.6504368065e-01 4.0353673006e-04 9.9582672119e-04 1.5398347798e+01 2.1460517612e-01 2.4346666828e+01 2.4488997027e+01 5.3632252099e-02 2.4991126994e-01 1.0604182900e+00 1.0000000000e+00 0.0000000000e+00 2.3800315555e+01
2.7995571734e-01 4.1514744292e-04 1.0876521838e-03 1.5014865098e+01 2.2687823999e-01 2.4347106643e+01 2.4494779513e+01 5.6737922319e-02 2.5008093470e-01 1.0630949794e+00 1.0000000000e+00 0.0000000000e+00 2.3771222869e+01
2.9458158111e-01 4.2694100165e-04 1.1835098267e-03 1.4689654290e+01 2.3899140533e-01 2.4346753349e+01 2.4500489899e+01 5.9738346896e-02 2.4996023105e-01 1.0656876599e+00 1.0000000000e+00 0.0000000000e+00 2.3711804573e+01
3.1196808890e-01 4.3891740625e-04 1.3050079346e-03 1.4357968828e+01 2.5340994732e-01 2.4325159149e+01 2.4494245967e+01 6.3323180485e-02 2.4988435204e-01 1.0687150426e+00 1.0000000000e+00 0.0000000000e+00 2.3631145371e+01
3.3011339725e-01 4.5107665672e-04 1.4400482178e-03 1.4077042352e+01 2.6846067323e-01 2.4295258934e+01 2.4490554405e+01 6.7104239251e-02 2.4995928991e-01 1.0717956404e+00 1.0000000000e+00 0.0000000000e+00 2.3542180153e+01
3.4789506825e-01 4.6341875306e-04 1.5804290771e-03 1.3832404225e+01 2.8323972003e-01 2.4286895237e+01 2.4499098353e+01 7.0822992262e-02 2.5004611731e-01 1.0747555193e+00 1.0000000000e+00 0.0000000000e+00 2.3445218952e+01
3.6701221689e-01 4.7594369528e-04 1.7408370972e-03 1.3612020819e+01 2.9917018407e-01 2.4258458669e+01 2.4495925917e+01 7.4828320592e-02 2.5011957934e-01 1.0778892044e+00 1.0000000000e+00 0.0000000000e+00 2.3328184880e+01
3.8867840041e-01 4.8865148336e-04 1.9336700439e-03 1.3403447529e+01 3.1732970993e-01 2.4212314135e+01 2.4496776707e+01 7.9326175207e-02 2.4998029722e-01 1.0813686708e+00 1.0000000000e+00 0.0000000000e+00 2.3163910342e+01
4.0979843512e-01 5.0154211732e-04 2.1335601807e-03 1.3221104522e+01 3.3502152492e-01 2.4162881804e+01 2.4495832186e+01 8.3782776977e-02 2.5008177309e-01 1.0846866682e+00 1.0000000000e+00 0.0000000000e+00 2.2996348006e+01
4.3020035973e-01 5.1461559715e-04 2.3368835449e-03 1.3072468655e+01 3.5216908510e-01 2.4117595271e+01 2.4494195497e+01 8.8092466072e-02 2.5014253039e-01 1.0878467697e+00 1.0000000000e+00 0.0000000000e+00 2.2803398967e+01
4.5454258567e-01 5.2787192285e-04 2.5917053223e-03 1.2918901091e+01 3.7274581770e-01 2.4052639631e+01 2.4498233143e+01 9.3200118954e-02 2.5003665911e-01 1.0915633628e+00 1.0000000000e+00 0.0000000000e+00 2.2546482068e+01
4.7891033910e-01 5.4131109443e-04 2.8602600098e-03 1.2787809159e+01 3.9343554110e-01 2.3980598281e+01 2.4501931916e+01 9.8312434347e-02 2.4988193510e-01 1.0952153841e+00 1.0000000000e+00 0.0000000000e+00 2.2252946959e+01
5.0237244895e-01 5.5493311187e-04 3.1318664551e-03 1.2675850985e+01 4.1333036816e-01 2.3883420778e+01 2.4505738840e+01 1.0334493165e-01 2.5002985411e-01 1.0986793371e+00 1.0000000000e+00 0.0000000000e+00 2.1934275697e+01
5.2568999730e-01 5.6873797519e-04 3.4126281738e-03 1.2580447163e+01 4.3327636993e-01 2.3758484454e+01 2.4511067092e+01 1.0826376769e-01 2.4987231063e-01 1.1021052917e+00 1.0000000000e+00 0.0000000000e+00 2.1573079364e+01
5.5320543504e-01 5.8272568438e-04 3.7590026855e-03 1.2479332954e+01 4.5678535071e-01 2.3583538993e+01 2.4505450437e+01 1.1420672851e-01 2.5002274773e-01 1.1060937916e+00 1.0000000000e+00 0.0000000000e+00 2.1132341392e+01
5.7948094366e-01 5.9689623944e-04 4.1023254395e-03 1.2396741450e+01 4.7937639704e-01 2.3397569314e+01 2.4516388133e+01 1.1986020098e-01 2.5003358890e-01 1.1098632185e+00 1.0000000000e+00 0.0000000000e+00 2.0665812951e+01
6.0451185508e-01 6.1124964037e-04 4.4410705566e-03 1.2330033759e+01 5.0100389318e-01 2.3168432867e+01 2.4509199680e+01 1.2525017820e-01 2.4999841299e-01 1.1134398743e+00 1.0000000000e+00 0.0000000000e+00 2.0215182745e+01
