# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 k2	 lambda_tidal	 phi_1_0	 H_0	 
1.0213396974e+01 0.0000000000e+00 6.1454046639e-03 1.4766250610e-10 0.0000000000e+00 4.2553369472e+02 7.3193339487e+02 1.0418715058e+02 inf 1.0526553527e-01 1.0000000000e-01 2.5132741229e+01 3.2448734869e-03 6.4732713524e+10 1.6101700795e+00 1.0000000000e+00
1.1050685089e+01 0.0000000000e+00 6.5740045079e-03 1.4766250610e-10 0.0000000000e+00 4.1236219917e+02 7.2886201475e+02 1.1297881597e+02 inf 1.0593143135e-01 1.0000000000e-01 2.5132741229e+01 2.8885970175e-03 5.6426332067e+10 1.5190688580e+00 1.0000000000e+00
1.1918753199e+01 0.0000000000e+00 7.0220828837e-03 1.4766250610e-10 0.0000000000e+00 3.9975182115e+02 7.2401868455e+02 1.2214239979e+02 inf 1.0667083922e-01 1.0000000000e-01 2.5132741229e+01 2.5931629537e-03 4.8994465751e+10 1.4353692713e+00 1.0000000000e+00
1.2810053272e+01 0.0000000000e+00 7.4900726477e-03 1.4766250610e-10 0.0000000000e+00 3.8764349565e+02 7.1645836424e+02 1.3160534762e+02 inf 1.0748956504e-01 1.0000000000e-01 2.5132741229e+01 2.3624417841e-03 4.2353017966e+10 1.3590178919e+00 1.0000000000e+00
1.3715773561e+01 0.0000000000e+00 7.9784066561e-03 1.4766250610e-10 0.0000000000e+00 3.7602245642e+02 7.0501452001e+02 1.4128055945e+02 inf 1.0839354083e-01 1.0000000000e-01 2.5132741229e+01 2.2024271602e-03 3.6430111448e+10 1.2898038558e+00 1.0000000000e+00
1.4626072768e+01 0.0000000000e+00 8.4875177651e-03 1.4766250610e-10 0.0000000000e+00 3.6480010596e+02 6.9580037963e+02 1.5106828234e+02 inf 1.0938880400e-01 1.0000000000e-01 2.5132741229e+01 2.0122775082e-03 3.1165920933e+10 1.2273998432e+00 1.0000000000e+00
1.5530335343e+01 0.0000000000e+00 9.0178388311e-03 1.4766250610e-10 0.0000000000e+00 3.5396167801e+02 6.7001850607e+02 1.6085825658e+02 inf 1.1048147622e-01 1.0000000000e-01 2.5132741229e+01 2.0669891523e-03 2.6505829787e+10 1.1714013942e+00 1.0000000000e+00
1.6417554249e+01 0.0000000000e+00 9.5698027103e-03 1.4766250610e-10 0.0000000000e+00 3.4344810758e+02 6.4933098896e+02 1.7053331678e+02 inf 1.1167774082e-01 1.0000000000e-01 2.5132741229e+01 2.0439243899e-03 2.2406037721e+10 1.1213621038e+00 1.0000000000e+00
1.7276628252e+01 0.0000000000e+00 1.0143842259e-02 1.4766250610e-10 0.0000000000e+00 3.3324462841e+02 6.2858440686e+02 1.7997220188e+02 inf 1.1298381873e-01 1.0000000000e-01 2.5132741229e+01 2.0197163041e-03 1.8822546231e+10 1.0768214997e+00 1.0000000000e+00
1.8096752745e+01 0.0000000000e+00 1.0740390333e-02 1.4766250610e-10 0.0000000000e+00 3.2330694174e+02 6.0839894227e+02 1.8905355233e+02 inf 1.1440594305e-01 1.0000000000e-01 2.5132741229e+01 1.9850147471e-03 1.5713625034e+10 1.0373263575e+00 1.0000000000e+00
1.8867765962e+01 0.0000000000e+00 1.1359879790e-02 1.4766250610e-10 0.0000000000e+00 3.1364981385e+02 5.8899608897e+02 1.9765963520e+02 inf 1.1595033270e-01 1.0000000000e-01 2.5132741229e+01 1.9367613591e-03 1.3037940231e+10 1.0024450719e+00 1.0000000000e+00
1.9580470580e+01 0.0000000000e+00 1.2002743484e-02 1.4766250610e-10 0.0000000000e+00 3.0422894596e+02 5.7042014570e+02 2.0568002768e+02 inf 1.1762316603e-01 1.0000000000e-01 2.5132741229e+01 1.8751354710e-03 1.0754201658e+10 9.7177636024e-01 1.0000000000e+00
2.0226907742e+01 0.0000000000e+00 1.2669414273e-02 1.4766250610e-10 0.0000000000e+00 2.9505916201e+02 5.5264163765e+02 2.1301500401e+02 inf 1.1943055502e-01 1.0000000000e-01 2.5132741229e+01 1.8019586728e-03 8.8213347864e+09 9.4495351502e-01 1.0000000000e+00
2.0800569773e+01 0.0000000000e+00 1.3360325013e-02 1.4766250610e-10 0.0000000000e+00 2.8611081414e+02 5.3564568320e+02 2.1957845001e+02 inf 1.2137852122e-01 1.0000000000e-01 2.5132741229e+01 1.7191402175e-03 7.1989847183e+09 9.2164544966e-01 1.0000000000e+00
2.1296542678e+01 0.0000000000e+00 1.4075908560e-02 1.4766250610e-10 0.0000000000e+00 2.7741349253e+02 5.1941757378e+02 2.2530016264e+02 inf 1.2347297410e-01 1.0000000000e-01 2.5132741229e+01 1.6287938340e-03 5.8481925893e+09 9.0155562004e-01 1.0000000000e+00
2.1711574883e+01 0.0000000000e+00 1.4816597770e-02 1.4766250610e-10 0.0000000000e+00 2.6895243093e+02 5.0392777689e+02 2.3012743722e+02 inf 1.2571969257e-01 1.0000000000e-01 2.5132741229e+01 1.5333353312e-03 4.7320730328e+09 8.8441967801e-01 1.0000000000e+00
2.2044074034e+01 0.0000000000e+00 1.5582825500e-02 1.4766250610e-10 0.0000000000e+00 2.6072762934e+02 4.8916152628e+02 2.3402589631e+02 inf 1.2812431048e-01 1.0000000000e-01 2.5132741229e+01 1.4348931530e-03 3.8164035217e+09 8.7000248460e-01 1.0000000000e+00
2.2294038424e+01 0.0000000000e+00 1.6375024606e-02 1.4766250610e-10 0.0000000000e+00 2.5276862026e+02 4.7508928945e+02 2.3697956649e+02 inf 1.3069230625e-01 1.0000000000e-01 2.5132741229e+01 1.3356614704e-03 3.0700562248e+09 8.5809490955e-01 1.0000000000e+00
2.2462933283e+01 0.0000000000e+00 1.7193627944e-02 1.4766250610e-10 0.0000000000e+00 2.4504587119e+02 4.6171106639e+02 2.3899025715e+02 inf 1.3342899725e-01 1.0000000000e-01 2.5132741229e+01 1.2371875644e-03 2.4652511320e+09 8.4851068543e-01 1.0000000000e+00
2.2553524577e+01 0.0000000000e+00 1.8039068370e-02 1.4766250610e-10 0.0000000000e+00 2.3760368088e+02 4.4899732462e+02 2.4007633411e+02 inf 1.3633953884e-01 1.0000000000e-01 2.5132741229e+01 1.1411727144e-03 1.9776289793e+09 8.4108346893e-01 1.0000000000e+00
2.2569684010e+01 0.0000000000e+00 1.8911778740e-02 1.4766250610e-10 0.0000000000e+00 2.3042728309e+02 4.3696283037e+02 2.4027100844e+02 inf 1.3942892814e-01 1.0000000000e-01 2.5132741229e+01 1.0484654238e-03 1.5861773195e+09 8.3566418291e-01 1.0000000000e+00
2.2516178656e+01 0.0000000000e+00 1.9812191912e-02 1.4766250610e-10 0.0000000000e+00 2.2351667780e+02 4.2557805115e+02 2.3962027547e+02 inf 1.4270201233e-01 1.0000000000e-01 2.5132741229e+01 9.6021621327e-04 1.2730362065e+09 8.3211866217e-01 1.0000000000e+00
2.2398457502e+01 0.0000000000e+00 2.0740740741e-02 1.4766250610e-10 0.0000000000e+00 2.1690142637e+02 4.1481348330e+02 2.3818064161e+02 inf 1.4616350118e-01 1.0000000000e-01 2.5132741229e+01 8.7726741153e-04 1.0232276088e+09 8.3032559644e-01 1.0000000000e+00
2.2222445230e+01 0.0000000000e+00 2.1697858083e-02 1.4766250610e-10 0.0000000000e+00 2.1055193861e+02 4.0468383538e+02 2.3601676926e+02 inf 1.4981798358e-01 1.0000000000e-01 2.5132741229e+01 7.9973880073e-04 8.2433519868e+08 8.3017474807e-01 1.0000000000e+00
2.1994351238e+01 0.0000000000e+00 2.2683976795e-02 1.4766250610e-10 0.0000000000e+00 2.0451254211e+02 3.9517436998e+02 2.3319915377e+02 inf 1.5366994742e-01 1.0000000000e-01 2.5132741229e+01 7.2789645373e-04 6.6617801318e+08 8.3156541528e-01 1.0000000000e+00
2.1720499607e+01 0.0000000000e+00 2.3699529733e-02 1.4766250610e-10 0.0000000000e+00 1.9876847062e+02 3.8624078837e+02 2.2980192722e+02 inf 1.5772380254e-01 1.0000000000e-01 2.5132741229e+01 6.6208300451e-04 5.4048096528e+08 8.3440511008e-01 1.0000000000e+00
2.1407183324e+01 0.0000000000e+00 2.4744949753e-02 1.4766250610e-10 0.0000000000e+00 1.9330495790e+02 3.7791262302e+02 2.2590085923e+02 inf 1.6198390614e-01 1.0000000000e-01 2.5132741229e+01 6.0178113013e-04 4.4057079437e+08 8.3860842175e-01 1.0000000000e+00
2.1060544231e+01 0.0000000000e+00 2.5820669711e-02 1.4766250610e-10 0.0000000000e+00 1.8815153643e+02 3.7013080895e+02 2.2157160369e+02 inf 1.6645459032e-01 1.0000000000e-01 2.5132741229e+01 5.4730799258e-04 3.6110161809e+08 8.4409603909e-01 1.0000000000e+00
2.0686478429e+01 0.0000000000e+00 2.6927122464e-02 1.4766250610e-10 0.0000000000e+00 1.8329343998e+02 3.6292487865e+02 2.1688821769e+02 inf 1.7114019120e-01 1.0000000000e-01 2.5132741229e+01 4.9801109082e-04 2.9781423119e+08 8.5079390867e-01 1.0000000000e+00
2.0290565772e+01 0.0000000000e+00 2.8064740869e-02 1.4766250610e-10 0.0000000000e+00 1.7873066854e+02 3.5625053338e+02 2.1192196156e+02 inf 1.7604507927e-01 1.0000000000e-01 2.5132741229e+01 4.5381234885e-04 2.4733061490e+08 8.5863250888e-01 1.0000000000e+00
1.9878021211e+01 0.0000000000e+00 2.9233957780e-02 1.4766250610e-10 0.0000000000e+00 1.7447798837e+02 3.5010777312e+02 2.0674037393e+02 inf 1.8117369069e-01 1.0000000000e-01 2.5132741229e+01 4.1428153698e-04 2.0698051380e+08 8.6754622331e-01 1.0000000000e+00
1.9453665249e+01 0.0000000000e+00 3.0435206055e-02 1.4766250610e-10 0.0000000000e+00 1.7052064762e+02 3.4446707981e+02 2.0140660401e+02 inf 1.8653055918e-01 1.0000000000e-01 2.5132741229e+01 3.7916583446e-04 1.7466019704e+08 8.7747279932e-01 1.0000000000e+00
1.9021910596e+01 0.0000000000e+00 3.1668918550e-02 1.4766250610e-10 0.0000000000e+00 1.6685861747e+02 3.3934319085e+02 1.9597897657e+02 inf 1.9212034839e-01 1.0000000000e-01 2.5132741229e+01 3.4795666425e-04 1.4871268729e+08 8.8835287988e-01 1.0000000000e+00
1.8586762107e+01 0.0000000000e+00 3.2935528121e-02 1.4766250610e-10 0.0000000000e+00 1.6349191233e+02 3.3470658816e+02 1.9051076004e+02 inf 1.9794788455e-01 1.0000000000e-01 2.5132741229e+01 3.2041317563e-04 1.2783795107e+08 9.0012959928e-01 1.0000000000e+00
1.8151827214e+01 0.0000000000e+00 3.4235467624e-02 1.4766250610e-10 0.0000000000e+00 1.6042053221e+02 3.3054250548e+02 1.8505010628e+02 inf 2.0401818928e-01 1.0000000000e-01 2.5132741229e+01 2.9625420568e-04 1.1101498789e+08 9.1274823392e-01 1.0000000000e+00
1.7720334399e+01 0.0000000000e+00 3.5569169916e-02 1.4766250610e-10 0.0000000000e+00 1.5764447709e+02 3.2685094283e+02 1.7964013122e+02 inf 2.1033651265e-01 1.0000000000e-01 2.5132741229e+01 2.7505693055e-04 9.7443321674e+07 9.2615590182e-01 1.0000000000e+00
1.7295157387e+01 0.0000000000e+00 3.6937067852e-02 1.4766250610e-10 0.0000000000e+00 1.5516374699e+02 3.2360236770e+02 1.7431910564e+02 inf 2.1690836648e-01 1.0000000000e-01 2.5132741229e+01 2.5665639182e-04 8.6495108451e+07 9.4030130451e-01 1.0000000000e+00
1.6878843257e+01 0.0000000000e+00 3.8339594290e-02 1.4766250610e-10 0.0000000000e+00 1.5296357565e+02 3.2081154633e+02 1.6912072953e+02 inf 2.2373955780e-01 1.0000000000e-01 2.5132741229e+01 2.4069818920e-04 7.7679065143e+07 9.5513450677e-01 1.0000000000e+00
1.6473642786e+01 0.0000000000e+00 3.9777182085e-02 1.4766250610e-10 0.0000000000e+00 1.5107349557e+02 3.1843417998e+02 1.6407446492e+02 inf 2.3083622290e-01 1.0000000000e-01 2.5132741229e+01 2.2706067310e-04 7.0610948677e+07 9.7060674960e-01 1.0000000000e+00
