# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
1.6312128836e-02 0.0000000000e+00 1.2817781586e-03 1.4766250610e-10 0.0000000000e+00 8.8375973852e+00 1.9173972812e+01 1.6336037574e-03 inf 1.0042033105e+01 1.0000000000e+01 0.0000000000e+00 5.9849975587e+00 3.5797359269e-04 8.8199880832e+01 4.3103919798e+00 1.0000000000e+00
1.7110926394e-02 0.0000000000e+00 1.4142760416e-03 1.4766250610e-10 0.0000000000e+00 8.4019929922e+00 1.8251082149e+01 1.7138564894e-03 inf 1.0046411907e+01 1.0000000000e+01 0.0000000000e+00 5.6899975587e+00 3.5626201957e-04 6.8595293949e+01 4.3074326074e+00 1.0000000000e+00
1.7919198265e-02 0.0000000000e+00 1.5556039519e-03 1.4766250610e-10 0.0000000000e+00 8.0106873510e+00 1.7387256488e+01 1.7950993500e-03 inf 1.0051089557e+01 1.0000000000e+01 0.0000000000e+00 5.4249975587e+00 3.5607537294e-04 5.3745735113e+01 4.3042793544e+00 1.0000000000e+00
1.8736407013e-02 0.0000000000e+00 1.7060467291e-03 1.4766250610e-10 0.0000000000e+00 7.6415310858e+00 1.6604645206e+01 1.8772817589e-03 inf 1.0056076879e+01 1.0000000000e+01 0.0000000000e+00 5.1749975587e+00 3.5310584989e-04 4.2406055665e+01 4.3009277588e+00 1.0000000000e+00
1.9562011406e-02 0.0000000000e+00 1.8658892128e-03 1.4766250610e-10 0.0000000000e+00 7.3092904471e+00 1.5873715801e+01 1.9603527045e-03 inf 1.0061384854e+01 1.0000000000e+01 0.0000000000e+00 4.9499975587e+00 3.5077187918e-04 3.3677132358e+01 4.2973713624e+00 1.0000000000e+00
2.0395466180e-02 0.0000000000e+00 2.0354162426e-03 1.4766250610e-10 0.0000000000e+00 6.9918160589e+00 1.5187085147e+01 2.0442609632e-03 inf 1.0067024633e+01 1.0000000000e+01 0.0000000000e+00 4.7349975587e+00 3.4978093847e-04 2.6908117198e+01 4.2936045170e+00 1.0000000000e+00
2.1236221594e-02 0.0000000000e+00 2.2149126581e-03 1.4766250610e-10 0.0000000000e+00 6.6891097240e+00 1.4559521299e+01 2.1289548848e-03 inf 1.0073007543e+01 1.0000000000e+01 0.0000000000e+00 4.5299987794e+00 3.4751406728e-04 2.1623309803e+01 4.2896225574e+00 1.0000000000e+00
2.2083722502e-02 0.0000000000e+00 2.4046632988e-03 1.4766250610e-10 0.0000000000e+00 6.4159340877e+00 1.3961488149e+01 2.2143823280e-03 inf 1.0079345102e+01 1.0000000000e+01 0.0000000000e+00 4.3449987794e+00 3.4533949748e-04 1.7470080025e+01 4.2854198372e+00 1.0000000000e+00
2.2937408672e-02 0.0000000000e+00 2.6049530044e-03 1.4766250610e-10 0.0000000000e+00 6.1575247020e+00 1.3407753752e+01 2.3004906838e-03 inf 1.0086049033e+01 1.0000000000e+01 0.0000000000e+00 4.1699987794e+00 3.4396282287e-04 1.4186039157e+01 4.2809909824e+00 1.0000000000e+00
2.3796714015e-02 0.0000000000e+00 2.8160666145e-03 1.4766250610e-10 0.0000000000e+00 5.9175731296e+00 1.2887243418e+01 2.3872267041e-03 inf 1.0093131273e+01 1.0000000000e+01 0.0000000000e+00 4.0074987794e+00 3.4253530870e-04 1.1574282630e+01 4.2763311421e+00 1.0000000000e+00
