# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
1.4295424664e+00 1.3990521588e-03 0.0000000000e+00 1.2511246586e+01 1.5835894025e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1573048916e+01
1.4609243645e+00 1.4523446405e-03 0.0000000000e+00 1.2455858726e+01 1.6226519743e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1548130868e+01
1.4902345769e+00 1.5066332433e-03 0.0000000000e+00 1.2397485891e+01 1.6593798288e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1510753796e+01
1.5166599726e+00 1.5619179673e-03 0.0000000000e+00 1.2338738133e+01 1.6927062234e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1478452623e+01
1.5421184730e+00 1.6181988124e-03 0.0000000000e+00 1.2277985971e+01 1.7250166769e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1441998442e+01
1.5649427685e+00 1.6754757787e-03 0.0000000000e+00 1.2217529422e+01 1.7541579319e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1403237034e+01
1.5858987834e+00 1.7337488661e-03 0.0000000000e+00 1.2155234302e+01 1.7810714705e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1355246719e+01
1.6053819036e+00 1.7930180747e-03 0.0000000000e+00 1.2092088393e+01 1.8062335935e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1311870858e+01
1.6227430779e+00 1.8532834044e-03 0.0000000000e+00 1.2030060046e+01 1.8287747212e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1266187770e+01
1.6387651493e+00 1.9145448553e-03 0.0000000000e+00 1.1966416641e+01 1.8496869848e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1218197456e+01
1.6532819008e+00 1.9768024273e-03 0.0000000000e+00 1.1902391101e+01 1.8687274269e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1169745696e+01
1.6661042579e+00 2.0400561205e-03 0.0000000000e+00 1.1839137040e+01 1.8856246521e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1118986709e+01
1.6778510136e+00 2.1043059348e-03 0.0000000000e+00 1.1774707736e+01 1.9011768318e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1066381942e+01
1.6882845288e+00 2.1695518703e-03 0.0000000000e+00 1.1710667776e+01 1.9150495280e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1011931393e+01
1.6973737273e+00 2.2357939270e-03 0.0000000000e+00 1.1648314975e+01 1.9271844700e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0962556742e+01
1.7055280925e+00 2.3030321048e-03 0.0000000000e+00 1.1586358730e+01 1.9381161693e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0911797756e+01
1.7126313549e+00 2.3712664037e-03 0.0000000000e+00 1.1522217828e+01 1.9476739237e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0856885761e+01
1.7186733390e+00 2.4404968238e-03 0.0000000000e+00 1.1461112372e+01 1.9558322929e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0802435212e+01
1.7238822956e+00 2.5107233651e-03 0.0000000000e+00 1.1399300328e+01 1.9628915935e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0747061772e+01
1.7282860628e+00 2.5819460275e-03 0.0000000000e+00 1.1339139393e+01 1.9688785523e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0698148567e+01
1.7318556111e+00 2.6541648111e-03 0.0000000000e+00 1.1278567483e+01 1.9737459519e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0642775127e+01
1.7346991024e+00 2.7273797158e-03 0.0000000000e+00 1.1221679926e+01 1.9776355560e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0594784813e+01
1.7369254228e+00 2.8015907417e-03 0.0000000000e+00 1.1161598302e+01 1.9806900060e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0542641490e+01
1.7384988084e+00 2.8767978887e-03 0.0000000000e+00 1.1103672493e+01 1.9828533747e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0492805395e+01
1.7394867245e+00 2.9530011569e-03 0.0000000000e+00 1.1048868649e+01 1.9842151343e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0436509064e+01
1.7399558696e+00 3.0302005462e-03 0.0000000000e+00 1.0990402084e+01 1.9848642136e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0388980195e+01
1.7399245904e+00 3.1083960567e-03 0.0000000000e+00 1.0934913283e+01 1.9848209867e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0334529646e+01
1.7394391203e+00 3.1875876883e-03 0.0000000000e+00 1.0880873708e+01 1.9841458317e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0287923667e+01
1.7385427745e+00 3.2677754411e-03 0.0000000000e+00 1.0826935075e+01 1.9828990029e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0242702025e+01
1.7372267750e+00 3.3489593150e-03 0.0000000000e+00 1.0774827803e+01 1.9810651638e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0190097257e+01
1.7355612709e+00 3.4311393101e-03 0.0000000000e+00 1.0721876951e+01 1.9787390822e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0144875615e+01
