# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
1.6523839625e+00 1.6764718998e-03 0.0000000000e+00 1.1439929148e+01 1.8889211393e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0759520796e+01
1.7018028773e+00 1.7257798969e-03 0.0000000000e+00 1.1404743941e+01 1.9552186172e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0745446714e+01
1.7512344016e+00 1.7750878939e-03 0.0000000000e+00 1.1361786265e+01 2.0223876450e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0735871723e+01
1.7945480286e+00 1.8243958910e-03 0.0000000000e+00 1.1320357126e+01 2.0819830885e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0718106078e+01
1.8356297180e+00 1.8737038880e-03 0.0000000000e+00 1.1277067786e+01 2.1391974049e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0695033811e+01
1.8750818552e+00 1.9230118851e-03 0.0000000000e+00 1.1228969320e+01 2.1948048000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0666770285e+01
1.9095025209e+00 1.9723198821e-03 0.0000000000e+00 1.1183769308e+01 2.2438821159e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0636084170e+01
1.9421652029e+00 2.0216278792e-03 0.0000000000e+00 1.1135259867e+01 2.2909807040e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0606667030e+01
1.9734726482e+00 2.0709358762e-03 0.0000000000e+00 1.1083722192e+01 2.3366289868e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0571366462e+01
2.0006225725e+00 2.1202438733e-03 0.0000000000e+00 1.1033713054e+01 2.3766379083e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0535489088e+01
2.0250344145e+00 2.1695518703e-03 0.0000000000e+00 1.0983588555e+01 2.4129805582e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0490844252e+01
2.0489420670e+00 2.2188598674e-03 0.0000000000e+00 1.0928388157e+01 2.4489324353e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0448622004e+01
2.0695136770e+00 2.2681678645e-03 0.0000000000e+00 1.0876468347e+01 2.4801649016e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0413782882e+01
2.0872426562e+00 2.3174758615e-03 0.0000000000e+00 1.0825723781e+01 2.5073257592e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0372598886e+01
2.1044245520e+00 2.3667838586e-03 0.0000000000e+00 1.0771439064e+01 2.5338889061e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0325762185e+01
